Food_Item,Category,Calories (kcal),Protein (g),Carbohydrates (g),Fat (g),Fiber (g),Sugars (g),Sodium (mg),Cholesterol (mg),Meal_Type,Water_Intake (ml),Unnamed: 12,nutrition_risk,Disease,Portion_Size_g,Meal_ID,Day_Type,Log_Index,Confidence_Level
Manicotti (2 shells cheese),Meal/Pasta,380,20.73915846,35.1677591,18.42867654,3.9866245,7.176264099,633.4197954,58.75682192,Dinner,0,,Moderate,"Hypertension, Obesity",200,178,Weekend,1619,Medium
Tuna Sauce (2 tbsp),Condiment,100,4.105962372,1.015271704,8.830425743,0.0,0.51508542,193.6358794,14.93372731,Lunch,0,,Healthy,Healthy,250,158,Weekday,2542,High
Vitello Tonnato (1 serving),Meal/Meat,380,36.29674737,2.877859469,25.25563473,0.500299542,1.026955799,609.4219705,105.2558638,Lunch,0,,Moderate,"Hypertension, Obesity, Heart Disease",180,161,Weekday,3456,Medium
Tuna Melt,Meal/Processed,450,24.95774121,32.00288818,25.08223344,3.136073875,3.98342711,923.1673689,48.91346834,Lunch,250,,Moderate,"Hypertension, Obesity, Heart Disease",100,101,Weekend,7470,Medium
Ice Cream (1/2 cup vanilla),Dairy/Dessert,145,2.56490754,17.38705081,7.872720578,0.487350722,16.46135162,57.65385886,29.30621312,Snack,0,,Moderate,Diabetes,100,95,Weekend,3853,High
Blue Cheese Dressing (2 tbsp),Condiment,150,1.032259076,2.024406685,15.67985426,0.0,0.976103408,311.4576984,9.611778556,Lunch,0,,Moderate,Healthy,250,324,Weekend,3639,Low
Fruit Cocktail (canned 1 cup),Fruit,110,1.026379486,28.61365358,0.0,2.035388854,27.21915576,10.01735898,0.0,Snack,0,,Unhealthy,Diabetes,180,187,Weekday,1373,High
Scrambled Eggs (2 large),Protein/Dairy,180,12.39189146,1.931209245,14.55356084,0.0,1.003368839,183.5062775,367.4500741,Breakfast,250,,Healthy,Heart Disease,100,212,Weekday,4333,Medium
Apple Pie (1 slice),Dessert,410,2.882116419,60.20568403,18.82152457,3.062980051,25.3208972,310.5983021,0.0,Snack,0,,Unhealthy,"Diabetes, Obesity",200,495,Weekday,7884,Low
Hash Browns (1 cup),Vegetable,330,2.90443785,36.54704707,19.89401974,2.910447416,0.992140944,576.9926159,0.0,Breakfast,0,,Moderate,Hypertension,250,89,Weekday,4795,Low
